OBJECTID,CBSAFP10,GEOID10,NAME10,NAMELSAD10,LSAD10,MEMI10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,F1900_mean,F1910_mean,F1920_mean,F1930_mean,F1940_mean,F1950_mean,F1960_mean,F1970_mean,F1980_mean,F1990_mean,F2000_mean,F2010_mean,F2020_mean,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol
"519","35420","35420","New Philadelphia-Dover, OH","New Philadelphia-Dover, OH Micro Area",M2,"2",G3110,1470169796,9880933,"+40.4474411","-081.4711570",G35420,0.09160788951,0.1017865439,0.11504835917,0.12632512565,0.13511002239,0.14642902395,0.16691303797,0.18857963424,0.22730920302,0.25222790049,0.29315369346,0.320733201,0.35794230688,1.77428932178,0.15702724073,"536","0",0.00224830512,0.00224830512
"520","45660","45660","Tiffin, OH","Tiffin, OH Micro Area",M2,"2",G3110,1427127830,4600437,"+41.1200082","-083.1274357",G45660,0.08900820674,0.09533787323,0.10380653047,0.10917583377,0.11192596473,0.11694604505,0.12759734591,0.14016937315,0.16243233805,0.17107560678,0.18740178104,0.19853326349,0.21359350445,1.69469495951,0.15317991142,"537","0",0.00224830512,0.00224830512
"521","46500","46500","Urbana, OH","Urbana, OH Micro Area",M2,"2",G3110,1110247425,3015688,"+40.1327594","-083.7675425",G46500,0.10731734711,0.10917055091,0.11231538159,0.1141124277,0.11725725838,0.12455775819,0.13562082327,0.15173808053,0.18088392205,0.20171842534,0.23327904757,0.25192340091,0.26646824283,1.50875249087,0.11736135787,"538","0",0.00224830512,0.00224830512
"522","49300","49300","Wooster, OH","Wooster, OH Micro Area",M2,"2",G3110,1437258280,4889717,"+40.8296612","-081.8871942",G49300,0.07936714348,0.09176419593,0.1100130039,0.12388383182,0.13619419159,0.1548331166,0.19146077157,0.22986562636,0.28422193325,0.31768530559,0.36692674469,0.40199393151,0.42787169484,1.60214269299,0.15381762972,"539","0",0.00224830512,0.00224830512
"523","26140","26140","Homosassa Springs, FL","Homosassa Springs, FL Micro Area",M2,"2",G3110,1506586255,496236304,"+28.8436275","-082.5247964",G26140,0.0007293946,0.00172751353,0.00291757841,0.00548965411,0.00925179469,0.01954009751,0.04595185996,0.09163499559,0.18887481285,0.28983838151,0.34907290107,0.39506315022,0.42112940996,6.80160704286,0.14990609748,"540","0",0.00224830512,0.00224830512
"524","15340","15340","Bucyrus, OH","Bucyrus, OH Micro Area",M2,"2",G3110,1040620962,2359241,"+40.8485080","-082.9247712",G15340,0.05249595494,0.06178462276,0.07382992749,0.07928327441,0.0853958171,0.09558338827,0.1175765566,0.14316533829,0.17390783244,0.18559357584,0.20572901061,0.22310780847,0.25618745131,1.3572800847,0.11110652452,"541","0",0.00224830512,0.00224830512
"525","37340","37340","Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area",M1,"1",G3110,2630557912,1402040884,"+28.2982755","-080.7003842",G37340,0.00093825804,0.00249439334,0.00464552153,0.01004622637,0.0139365646,0.02274703648,0.05524280287,0.09215524738,0.1374662456,0.20966634629,0.24131539201,0.27161426152,0.2771980411,10.1561720609,0.25189786358,"542","0",0.00224830512,0.00224830512
"526","17060","17060","Chillicothe, OH","Chillicothe, OH Micro Area",M2,"2",G3110,1784988075,9937459,"+39.3237625","-083.0595848",G17060,0.00651114206,0.00804317549,0.00992339833,0.01267409471,0.01688718663,0.02461699164,0.04818941504,0.0643454039,0.08941504178,0.11215181059,0.1528551532,0.16563370474,0.26862813371,1.9093982735,0.18786932134,"543","0",0.00224830512,0.00224830512
"527","41780","41780","Sandusky, OH","Sandusky, OH Metro Area",M1,"1",G3110,651531963,969767280,"+41.5540061","-082.5258973",G41780,0.08637779666,0.09742282639,0.11677522893,0.12951949401,0.1479278769,0.17341640706,0.20947795714,0.23723213443,0.27584253753,0.29661096951,0.32861323516,0.34201831398,0.39308977627,2.11948152279,0.07107808254,"544","0",0.00224830512,0.00224830512
"528","45220","45220","Tallahassee, FL","Tallahassee, FL Metro Area",M1,"1",G3110,6184107754,556537850,"+30.3866132","-084.2805142",G45220,0.00136519442,0.00253395798,0.00450808804,0.0091831423,0.01739395189,0.03169411788,0.04952021765,0.06639362778,0.09782256401,0.13319976035,0.161957237,0.18150210672,0.19797283361,7.06914014331,0.59688025378,"545","0",0.00224830512,0.00224830512
